Generated by pymatgen.io.lammps.data.LammpsData

192  atoms

  4  atom types

0.000000 13.489099  xlo xhi
0.000000 13.489099  ylo yhi
0.000000 12.944520  zlo zhi

Masses

1    6.94100
2  138.90547
3  140.11600
4   15.99940

Atoms

1    1  6.744549  0.000000  9.708390
2    1  6.744549  0.000000  3.236130
3    1  6.744549  6.744549  6.472260
4    1  0.000000  0.000000  6.472260
5    1  9.228680  2.484130 -0.000000
6    1  4.260419  2.484130  6.472260
7    1  2.484130  2.484130  3.236130
8    1 11.004969  2.484130  9.708390
9    1  4.260419  4.260419  9.708390
10   1  9.228680  4.260419  3.236130
11   1 11.004969  4.260419  6.472260
12   1  9.228680 11.004969  6.472260
13   1  4.498176  1.101390  4.173094
14   1  8.990923  1.101390 10.645354
15   1  1.101390 11.242726  7.409224
16   1  5.643160  4.498176  7.409224
17   1  8.990923  5.643160  5.535296
18   1 11.242726 12.387709  5.535296
19   1  5.643160  2.246373  8.771425
20   1  7.845939  2.246373  2.299166
21   1 11.242726  5.643160  4.173094
22   1  2.246373  5.643160 10.645354
23   1  7.845939  8.990923  7.409224
24   1 12.387709  2.246373  7.409224
25   1  2.246373  1.101390  5.535296
26   1  4.498176  7.845939  5.535296
27   1 12.387709  4.498176  8.771425
28   1  1.101390  4.498176  2.299166
29   1  0.000000  6.744549  3.236130
30   1  0.000000  6.744549  9.708390
31   1  0.000000  0.000000  0.000000
32   1  6.744549  6.744549  0.000000
33   1  2.484130  9.228680  6.472260
34   1 11.004969  9.228680  0.000000
35   1  9.228680  9.228680  9.708390
36   1  4.260419  9.228680  3.236130
37   1 11.004969 11.004969  3.236130
38   1  2.484130 11.004969  9.708390
39   1  4.260419 11.004969 -0.000000
40   1  2.484130  4.260419 -0.000000
41   1 11.242726  7.845939 10.645354
42   1  2.246373  7.845939  4.173094
43   1  7.845939  4.498176  0.936964
44   1 12.387709 11.242726  0.936964
45   1  2.246373 12.387709 12.007555
46   1  4.498176  5.643160 12.007555
47   1 12.387709  8.990923  2.299166
48   1  1.101390  8.990923  8.771425
49   1  4.498176 12.387709 10.645354
50   1  8.990923 12.387709  4.173094
51   1  1.101390  2.246373  0.936964
52   1  5.643160  8.990923  0.936964
53   1  8.990923  7.845939 12.007555
54   1 11.242726  1.101390 12.007555
55   1  5.643160 11.242726  2.299166
56   1  7.845939 11.242726  8.771425
57   2  6.744549  0.000000  0.000000
58   2  6.744549  0.000000  6.472260
59   2  0.000000  0.000000  3.236130
60   2  6.744549  6.744549  3.236130
61   2 10.116824  8.474649  4.854195
62   2 10.116824  1.730100  4.854195
63   2  8.474649  3.372275  8.090325
64   2 11.758999 10.116824  8.090325
65   2 10.116824  5.014449 11.326455
66   2 10.116824 11.758999 11.326455
67   2  8.474649 10.116824  1.618065
68   2 11.758999  3.372275  1.618065
69   2  0.000000  6.744549  6.472260
70   2  0.000000  6.744549  0.000000
71   2  6.744549  6.744549  9.708390
72   2  0.000000  0.000000  9.708390
73   2  3.372275  1.730100 11.326455
74   2  3.372275  8.474649 11.326455
75   2  1.730100 10.116824  1.618065
76   2  5.014449  3.372275  1.618065
77   2  3.372275 11.758999  4.854195
78   2  3.372275  5.014449  4.854195
79   2  1.730100  3.372275  8.090325
80   2  5.014449 10.116824  8.090325
81   3 10.116824  6.744549  8.090325
82   3 10.116824  0.000000  8.090325
83   3  6.744549  3.372275 11.326455
84   3  6.744549  3.372275  4.854195
85   3 10.116824  6.744549  1.618065
86   3  3.372275  6.744549  8.090325
87   3  6.744549 10.116824  4.854195
88   3  0.000000  3.372275  4.854195
89   3  3.372275  0.000000  1.618065
90   3  3.372275  6.744549  1.618065
91   3  0.000000 10.116824  4.854195
92   3  0.000000 10.116824 11.326455
93   3  3.372275  0.000000  8.090325
94   3 10.116824  0.000000  1.618065
95   3  0.000000  3.372275 11.326455
96   3  6.744549 10.116824 11.326455
97   4 10.903921  6.250326  6.052910
98   4  9.329728 12.994876  6.052910
99   4  6.250326  4.159371  9.289039
100  4  7.238773  4.159371  2.816780
101  4  2.585178  0.494223  3.655480
102  4 10.903921  0.494223 10.127740
103  4  7.238773  2.585178  0.419350
104  4  6.250326  2.585178  6.891610
105  4 10.903921  7.238773 12.525169
106  4  9.329728  0.494223 12.525169
107  4 12.994876  2.585178  9.289039
108  4  0.494223  2.585178  2.816780
109  4  9.329728  6.250326  3.655480
110  4  4.159371  6.250326 10.127740
111  4  0.494223  4.159371  0.419350
112  4 12.994876  4.159371  6.891610
113  4  1.314407  0.829777  7.682618
